"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11872","Test Case 23: Verify address details in checkout page","ui-chromium","Sun Jan 11 01:54:11 UTC 2026","passed","Sun Jan 11 01:54:23 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","5284","Test Case 12: Add Products in Cart","ui-chromium","Sun Jan 11 01:53:47 UTC 2026","passed","Sun Jan 11 01:53:52 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","73","API 2: POST To All Products List","api","Sun Jan 11 01:53:28 UTC 2026","passed","Sun Jan 11 01:53:28 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","171","API 1: Get All Products List","api","Sun Jan 11 01:53:28 UTC 2026","passed","Sun Jan 11 01:53:28 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1953","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Sun Jan 11 01:54:53 UTC 2026","passed","Sun Jan 11 01:54:54 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","14968","Test Case 15: Place Order: Register before Checkout","ui-chromium","Sun Jan 11 01:53:56 UTC 2026","passed","Sun Jan 11 01:54:11 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2801","Test Case 8: Verify All Products and product detail page","ui-chromium","Sun Jan 11 01:54:38 UTC 2026","passed","Sun Jan 11 01:54:41 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","9219","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Sun Jan 11 01:54:47 UTC 2026","passed","Sun Jan 11 01:54:56 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2651","Test Case 21: Add review on product","ui-chromium","Sun Jan 11 01:54:50 UTC 2026","passed","Sun Jan 11 01:54:53 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2569","API 14: Get user account detail by email","api","Sun Jan 11 01:53:30 UTC 2026","passed","Sun Jan 11 01:53:32 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","1984","API 13: PUT To Update User Account","api","Sun Jan 11 01:53:28 UTC 2026","passed","Sun Jan 11 01:53:30 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","14897","Test Case 24: Download Invoice after purchase order","ui-chromium","Sun Jan 11 01:54:23 UTC 2026","passed","Sun Jan 11 01:54:38 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1688","Test Case 3: Login User with incorrect email and password","ui-chromium","Sun Jan 11 01:53:39 UTC 2026","passed","Sun Jan 11 01:53:41 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","5735","Test Case 2: Login User with correct email and password","ui-chromium","Sun Jan 11 01:53:33 UTC 2026","passed","Sun Jan 11 01:53:39 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
