"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17034","Test Case 24: Download Invoice after purchase order","ui-chromium","Sat Feb 14 02:01:41 UTC 2026","passed","Sat Feb 14 02:01:58 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3179","API 14: Get user account detail by email","api","Sat Feb 14 02:00:45 UTC 2026","passed","Sat Feb 14 02:00:48 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","2159","Test Case 11: Verify Subscription in Cart page","ui-chromium","Sat Feb 14 02:01:57 UTC 2026","passed","Sat Feb 14 02:01:59 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1424","Test Case 10: Verify Subscription in home page","ui-chromium","Sat Feb 14 02:01:56 UTC 2026","passed","Sat Feb 14 02:01:57 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","17548","Test Case 15: Place Order: Register before Checkout","ui-chromium","Sat Feb 14 02:01:12 UTC 2026","passed","Sat Feb 14 02:01:29 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3975","Test Case 21: Add review on product","ui-chromium","Sat Feb 14 02:02:06 UTC 2026","passed","Sat Feb 14 02:02:10 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","14144","Test Case 23: Verify address details in checkout page","ui-chromium","Sat Feb 14 02:01:30 UTC 2026","passed","Sat Feb 14 02:01:44 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2859","API 12: DELETE To Delete User Account","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:46 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","2143","Test Case 8: Verify All Products and product detail page","ui-chromium","Sat Feb 14 02:01:54 UTC 2026","passed","Sat Feb 14 02:01:56 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1887","API 13: PUT To Update User Account","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:45 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","64","API 3: Get All Brands List","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","5234","Test Case 5: Register User with existing email","ui-chromium","Sat Feb 14 02:01:01 UTC 2026","passed","Sat Feb 14 02:01:06 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","62","API 4: PUT To All Brands List","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","88","API 5: POST To Search Product","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","5667","Test Case 2: Login User with correct email and password","ui-chromium","Sat Feb 14 02:00:50 UTC 2026","passed","Sat Feb 14 02:00:56 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3440","Test Case 19: View & Cart Brand Products","ui-chromium","Sat Feb 14 02:02:02 UTC 2026","passed","Sat Feb 14 02:02:06 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","69","API 11: POST To Create User Account","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","4265","Test Case 4: Logout User","ui-chromium","Sat Feb 14 02:00:58 UTC 2026","passed","Sat Feb 14 02:01:02 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","11728","Test Case 16: Place Order: Login before Checkout","ui-chromium","Sat Feb 14 02:01:29 UTC 2026","passed","Sat Feb 14 02:01:41 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","81","API 10: POST To Verify Login with invalid details","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","11672","Test Case 1: Register User","ui-chromium","Sat Feb 14 02:00:47 UTC 2026","passed","Sat Feb 14 02:00:59 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","4086","Test Case 9: Search Product","ui-chromium","Sat Feb 14 02:01:58 UTC 2026","passed","Sat Feb 14 02:02:02 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2229","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Sat Feb 14 02:02:10 UTC 2026","passed","Sat Feb 14 02:02:12 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","18858","Test Case 14: Place Order: Register while Checkout","ui-chromium","Sat Feb 14 02:01:11 UTC 2026","passed","Sat Feb 14 02:01:30 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","11762","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Sat Feb 14 02:02:03 UTC 2026","passed","Sat Feb 14 02:02:15 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3552","Test Case 17: Remove Products From Cart","ui-chromium","Sat Feb 14 02:01:08 UTC 2026","passed","Sat Feb 14 02:01:12 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","113","API 1: Get All Products List","api","Sat Feb 14 02:00:43 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","2645","Test Case 13: Verify Product quantity in Cart","ui-chromium","Sat Feb 14 02:01:06 UTC 2026","passed","Sat Feb 14 02:01:08 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1656","Test Case 3: Login User with incorrect email and password","ui-chromium","Sat Feb 14 02:00:56 UTC 2026","passed","Sat Feb 14 02:00:58 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2451","API 8: POST To Verify Login without email parameter","api","Sat Feb 14 02:00:40 UTC 2026","passed","Sat Feb 14 02:00:43 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2262","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Sat Feb 14 02:02:12 UTC 2026","passed","Sat Feb 14 02:02:14 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
