"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7754","Test Case 2: Login User with correct email and password","ui-chromium","Thu Feb 19 02:07:30 UTC 2026","passed","Thu Feb 19 02:07:38 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3551","Test Case 8: Verify All Products and product detail page","ui-chromium","Thu Feb 19 02:08:39 UTC 2026","passed","Thu Feb 19 02:08:43 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2227","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Thu Feb 19 02:08:58 UTC 2026","passed","Thu Feb 19 02:09:00 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","161","API 1: Get All Products List","api","Thu Feb 19 02:07:23 UTC 2026","passed","Thu Feb 19 02:07:24 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","2338","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Thu Feb 19 02:09:00 UTC 2026","passed","Thu Feb 19 02:09:02 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2231","Test Case 3: Login User with incorrect email and password","ui-chromium","Thu Feb 19 02:07:38 UTC 2026","passed","Thu Feb 19 02:07:40 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2147","API 8: POST To Verify Login without email parameter","api","Thu Feb 19 02:07:21 UTC 2026","passed","Thu Feb 19 02:07:23 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","4311","Test Case 22: Add to cart from Recommended items","ui-chromium","Thu Feb 19 02:07:52 UTC 2026","passed","Thu Feb 19 02:07:57 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","115","API 3: Get All Brands List","api","Thu Feb 19 02:07:23 UTC 2026","passed","Thu Feb 19 02:07:23 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","140","API 4: PUT To All Brands List","api","Thu Feb 19 02:07:23 UTC 2026","passed","Thu Feb 19 02:07:23 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","1560","API 12: DELETE To Delete User Account","api","Thu Feb 19 02:07:24 UTC 2026","passed","Thu Feb 19 02:07:25 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3170","Test Case 19: View & Cart Brand Products","ui-chromium","Thu Feb 19 02:08:50 UTC 2026","passed","Thu Feb 19 02:08:53 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","13443","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Thu Feb 19 02:08:51 UTC 2026","passed","Thu Feb 19 02:09:04 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","128","API 11: POST To Create User Account","api","Thu Feb 19 02:07:24 UTC 2026","passed","Thu Feb 19 02:07:24 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","17707","Test Case 15: Place Order: Register before Checkout","ui-chromium","Thu Feb 19 02:07:57 UTC 2026","passed","Thu Feb 19 02:08:14 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
