"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","API 10: POST To Verify Login with invalid details","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2981","API 7: POST To Verify Login with valid details","api","Thu Apr 23 02:36:05 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1937","Test Case 11: Verify Subscription in Cart page","ui-chromium","Thu Apr 23 02:37:26 UTC 2026","passed","Thu Apr 23 02:37:28 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2175","API 12: DELETE To Delete User Account","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:11 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","146","API 1: Get All Products List","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","15314","Test Case 23: Verify address details in checkout page","ui-chromium","Thu Apr 23 02:36:57 UTC 2026","passed","Thu Apr 23 02:37:12 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2717","Test Case 19: View & Cart Brand Products","ui-chromium","Thu Apr 23 02:37:31 UTC 2026","passed","Thu Apr 23 02:37:34 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","103","API 5: POST To Search Product","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","5723","Test Case 12: Add Products in Cart","ui-chromium","Thu Apr 23 02:36:29 UTC 2026","passed","Thu Apr 23 02:36:35 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","3751","Test Case 17: Remove Products From Cart","ui-chromium","Thu Apr 23 02:36:34 UTC 2026","passed","Thu Apr 23 02:36:38 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","5555","Test Case 2: Login User with correct email and password","ui-chromium","Thu Apr 23 02:36:15 UTC 2026","passed","Thu Apr 23 02:36:21 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","6812","Test Case 6: Contact Us Form","ui-chromium","Thu Apr 23 02:37:12 UTC 2026","passed","Thu Apr 23 02:37:19 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2443","API 8: POST To Verify Login without email parameter","api","Thu Apr 23 02:36:05 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2413","Test Case 8: Verify All Products and product detail page","ui-chromium","Thu Apr 23 02:37:22 UTC 2026","passed","Thu Apr 23 02:37:24 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","99","API 2: POST To All Products List","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","115","API 11: POST To Create User Account","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","97","API 4: PUT To All Brands List","api","Thu Apr 23 02:36:08 UTC 2026","passed","Thu Apr 23 02:36:08 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
