"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3188","Test Case 19: View & Cart Brand Products","ui-chromium","Mon May 25 03:47:21 UTC 2026","passed","Mon May 25 03:47:24 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","1711","API 12: DELETE To Delete User Account","api","Mon May 25 03:45:53 UTC 2026","passed","Mon May 25 03:45:54 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","149","API 1: Get All Products List","api","Mon May 25 03:45:52 UTC 2026","passed","Mon May 25 03:45:53 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","147","API 11: POST To Create User Account","api","Mon May 25 03:45:53 UTC 2026","passed","Mon May 25 03:45:53 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","12888","Test Case 16: Place Order: Login before Checkout","ui-chromium","Mon May 25 03:46:45 UTC 2026","passed","Mon May 25 03:46:58 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","7003","Test Case 5: Register User with existing email","ui-chromium","Mon May 25 03:46:12 UTC 2026","passed","Mon May 25 03:46:19 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","112","API 5: POST To Search Product","api","Mon May 25 03:45:53 UTC 2026","passed","Mon May 25 03:45:53 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1271","Test Case 10: Verify Subscription in home page","ui-chromium","Mon May 25 03:47:14 UTC 2026","passed","Mon May 25 03:47:15 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","13120","Test Case 1: Register User","ui-chromium","Mon May 25 03:45:57 UTC 2026","passed","Mon May 25 03:46:10 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","109","API 3: Get All Brands List","api","Mon May 25 03:45:52 UTC 2026","passed","Mon May 25 03:45:52 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","2399","Test Case 3: Login User with incorrect email and password","ui-chromium","Mon May 25 03:46:08 UTC 2026","passed","Mon May 25 03:46:10 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2033","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Mon May 25 03:47:28 UTC 2026","passed","Mon May 25 03:47:30 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","1984","Test Case 11: Verify Subscription in Cart page","ui-chromium","Mon May 25 03:47:15 UTC 2026","passed","Mon May 25 03:47:17 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2886","API 14: Get user account detail by email","api","Mon May 25 03:45:54 UTC 2026","passed","Mon May 25 03:45:57 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
