"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","API 9: DELETE To Verify Login","api","Fri Jan 09 01:45:12 UTC 2026","passed","Fri Jan 09 01:45:12 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","11164","Test Case 16: Place Order: Login before Checkout","ui-chromium","Fri Jan 09 01:45:55 UTC 2026","passed","Fri Jan 09 01:46:06 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","15381","Test Case 24: Download Invoice after purchase order","ui-chromium","Fri Jan 09 01:46:06 UTC 2026","passed","Fri Jan 09 01:46:21 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","6420","Test Case 4: Logout User","ui-chromium","Fri Jan 09 01:45:26 UTC 2026","passed","Fri Jan 09 01:45:33 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","6039","Test Case 2: Login User with correct email and password","ui-chromium","Fri Jan 09 01:45:17 UTC 2026","passed","Fri Jan 09 01:45:23 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","10410","Test Case 1: Register User","ui-chromium","Fri Jan 09 01:45:17 UTC 2026","passed","Fri Jan 09 01:45:28 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","15685","Test Case 14: Place Order: Register while Checkout","ui-chromium","Fri Jan 09 01:45:40 UTC 2026","passed","Fri Jan 09 01:45:55 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","97","API 11: POST To Create User Account","api","Fri Jan 09 01:45:13 UTC 2026","passed","Fri Jan 09 01:45:13 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","1680","API 8: POST To Verify Login without email parameter","api","Fri Jan 09 01:45:11 UTC 2026","passed","Fri Jan 09 01:45:12 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1855","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Fri Jan 09 01:46:29 UTC 2026","passed","Fri Jan 09 01:46:31 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","74","API 4: PUT To All Brands List","api","Fri Jan 09 01:45:13 UTC 2026","passed","Fri Jan 09 01:45:13 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","5104","Test Case 12: Add Products in Cart","ui-chromium","Fri Jan 09 01:45:33 UTC 2026","passed","Fri Jan 09 01:45:38 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2008","Test Case 19: View & Cart Brand Products","ui-chromium","Fri Jan 09 01:46:24 UTC 2026","passed","Fri Jan 09 01:46:26 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2935","Test Case 18: View Category Products","ui-chromium","Fri Jan 09 01:46:21 UTC 2026","passed","Fri Jan 09 01:46:24 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","1828","Test Case 8: Verify All Products and product detail page","ui-chromium","Fri Jan 09 01:46:17 UTC 2026","passed","Fri Jan 09 01:46:18 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","73","API 6: POST To Search Product without search_product parameter","api","Fri Jan 09 01:45:13 UTC 2026","passed","Fri Jan 09 01:45:13 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","3186","Test Case 21: Add review on product","ui-chromium","Fri Jan 09 01:46:26 UTC 2026","passed","Fri Jan 09 01:46:29 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
