"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8009","Test Case 18: View Category Products","ui-chromium","Tue Dec 30 01:43:43 UTC 2025","passed","Tue Dec 30 01:43:51 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","1821","Test Case 8: Verify All Products and product detail page","ui-chromium","Tue Dec 30 01:43:38 UTC 2025","passed","Tue Dec 30 01:43:40 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1120","Test Case 10: Verify Subscription in home page","ui-chromium","Tue Dec 30 01:43:40 UTC 2025","passed","Tue Dec 30 01:43:41 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1457","Test Case 3: Login User with incorrect email and password","ui-chromium","Tue Dec 30 01:42:48 UTC 2025","passed","Tue Dec 30 01:42:49 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","67","API 6: POST To Search Product without search_product parameter","api","Tue Dec 30 01:42:38 UTC 2025","passed","Tue Dec 30 01:42:38 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","12199","Test Case 14: Place Order: Register while Checkout","ui-chromium","Tue Dec 30 01:43:02 UTC 2025","passed","Tue Dec 30 01:43:14 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","5319","Test Case 5: Register User with existing email","ui-chromium","Tue Dec 30 01:42:52 UTC 2025","passed","Tue Dec 30 01:42:57 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","72","API 4: PUT To All Brands List","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:37 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
"","1545","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Tue Dec 30 01:43:53 UTC 2025","passed","Tue Dec 30 01:43:55 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","1676","Test Case 11: Verify Subscription in Cart page","ui-chromium","Tue Dec 30 01:43:41 UTC 2025","passed","Tue Dec 30 01:43:43 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","79","API 3: Get All Brands List","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:37 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
"","2780","Test Case 9: Search Product","ui-chromium","Tue Dec 30 01:43:42 UTC 2025","passed","Tue Dec 30 01:43:45 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3179","API 7: POST To Verify Login with valid details","api","Tue Dec 30 01:42:35 UTC 2025","passed","Tue Dec 30 01:42:39 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1598","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Tue Dec 30 01:43:55 UTC 2025","passed","Tue Dec 30 01:43:57 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","79","API 5: POST To Search Product","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:38 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","10503","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Tue Dec 30 01:43:47 UTC 2025","passed","Tue Dec 30 01:43:58 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","16865","Test Case 15: Place Order: Register before Checkout","ui-chromium","Tue Dec 30 01:43:03 UTC 2025","passed","Tue Dec 30 01:43:20 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2405","Test Case 22: Add to cart from Recommended items","ui-chromium","Tue Dec 30 01:42:59 UTC 2025","passed","Tue Dec 30 01:43:02 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","122","API 1: Get All Products List","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:37 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","54","API 2: POST To All Products List","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:37 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","4838","Test Case 4: Logout User","ui-chromium","Tue Dec 30 01:42:49 UTC 2025","passed","Tue Dec 30 01:42:54 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","1040","Test Case 7: Verify Test Cases Page","ui-chromium","Tue Dec 30 01:43:37 UTC 2025","passed","Tue Dec 30 01:43:38 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","68","API 11: POST To Create User Account","api","Tue Dec 30 01:42:38 UTC 2025","passed","Tue Dec 30 01:42:38 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","13435","Test Case 16: Place Order: Login before Checkout","ui-chromium","Tue Dec 30 01:43:14 UTC 2025","passed","Tue Dec 30 01:43:27 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1795","API 12: DELETE To Delete User Account","api","Tue Dec 30 01:42:38 UTC 2025","passed","Tue Dec 30 01:42:40 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","4972","Test Case 12: Add Products in Cart","ui-chromium","Tue Dec 30 01:42:54 UTC 2025","passed","Tue Dec 30 01:42:59 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","6180","Test Case 6: Contact Us Form","ui-chromium","Tue Dec 30 01:43:31 UTC 2025","passed","Tue Dec 30 01:43:37 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","66","API 9: DELETE To Verify Login","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:37 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","167","API 10: POST To Verify Login with invalid details","api","Tue Dec 30 01:42:37 UTC 2025","passed","Tue Dec 30 01:42:37 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2276","Test Case 19: View & Cart Brand Products","ui-chromium","Tue Dec 30 01:43:45 UTC 2025","passed","Tue Dec 30 01:43:47 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","1477","API 14: Get user account detail by email","api","Tue Dec 30 01:42:40 UTC 2025","passed","Tue Dec 30 01:42:41 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","9862","Test Case 1: Register User","ui-chromium","Tue Dec 30 01:42:41 UTC 2025","passed","Tue Dec 30 01:42:51 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","14860","Test Case 24: Download Invoice after purchase order","ui-chromium","Tue Dec 30 01:43:27 UTC 2025","passed","Tue Dec 30 01:43:42 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1505","API 13: PUT To Update User Account","api","Tue Dec 30 01:42:39 UTC 2025","passed","Tue Dec 30 01:42:40 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","2255","Test Case 21: Add review on product","ui-chromium","Tue Dec 30 01:43:51 UTC 2025","passed","Tue Dec 30 01:43:53 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","5921","Test Case 2: Login User with correct email and password","ui-chromium","Tue Dec 30 01:42:42 UTC 2025","passed","Tue Dec 30 01:42:48 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
