"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5889","Test Case 2: Login User with correct email and password","ui-chromium","Wed Oct 15 01:24:26 UTC 2025","passed","Wed Oct 15 01:24:32 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","167","API 5: POST To Search Product","api","Wed Oct 15 01:24:20 UTC 2025","passed","Wed Oct 15 01:24:20 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","1633","API 12: DELETE To Delete User Account","api","Wed Oct 15 01:24:20 UTC 2025","passed","Wed Oct 15 01:24:21 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","10851","Test Case 1: Register User","ui-chromium","Wed Oct 15 01:24:23 UTC 2025","passed","Wed Oct 15 01:24:34 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","11207","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Wed Oct 15 01:25:39 UTC 2025","passed","Wed Oct 15 01:25:50 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3212","API 14: Get user account detail by email","api","Wed Oct 15 01:24:21 UTC 2025","passed","Wed Oct 15 01:24:25 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","219","API 1: Get All Products List","api","Wed Oct 15 01:24:19 UTC 2025","passed","Wed Oct 15 01:24:20 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","1914","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Wed Oct 15 01:25:46 UTC 2025","passed","Wed Oct 15 01:25:48 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2101","Test Case 7: Verify Test Cases Page","ui-chromium","Wed Oct 15 01:25:27 UTC 2025","passed","Wed Oct 15 01:25:29 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","7417","Test Case 4: Logout User","ui-chromium","Wed Oct 15 01:24:34 UTC 2025","passed","Wed Oct 15 01:24:41 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","4963","Test Case 5: Register User with existing email","ui-chromium","Wed Oct 15 01:24:35 UTC 2025","passed","Wed Oct 15 01:24:40 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3260","Test Case 17: Remove Products From Cart","ui-chromium","Wed Oct 15 01:24:44 UTC 2025","passed","Wed Oct 15 01:24:47 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1929","Test Case 3: Login User with incorrect email and password","ui-chromium","Wed Oct 15 01:24:32 UTC 2025","passed","Wed Oct 15 01:24:34 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","137","API 3: Get All Brands List","api","Wed Oct 15 01:24:19 UTC 2025","passed","Wed Oct 15 01:24:19 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
"","141","API 11: POST To Create User Account","api","Wed Oct 15 01:24:20 UTC 2025","passed","Wed Oct 15 01:24:20 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","18846","Test Case 15: Place Order: Register before Checkout","ui-chromium","Wed Oct 15 01:24:48 UTC 2025","passed","Wed Oct 15 01:25:07 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1817","Test Case 11: Verify Subscription in Cart page","ui-chromium","Wed Oct 15 01:25:33 UTC 2025","passed","Wed Oct 15 01:25:35 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","124","API 6: POST To Search Product without search_product parameter","api","Wed Oct 15 01:24:20 UTC 2025","passed","Wed Oct 15 01:24:20 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","2911","API 8: POST To Verify Login without email parameter","api","Wed Oct 15 01:24:16 UTC 2025","passed","Wed Oct 15 01:24:19 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","122","API 9: DELETE To Verify Login","api","Wed Oct 15 01:24:19 UTC 2025","passed","Wed Oct 15 01:24:19 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","5378","Test Case 12: Add Products in Cart","ui-chromium","Wed Oct 15 01:24:40 UTC 2025","passed","Wed Oct 15 01:24:45 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","3433","Test Case 9: Search Product","ui-chromium","Wed Oct 15 01:25:35 UTC 2025","passed","Wed Oct 15 01:25:39 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","136","API 2: POST To All Products List","api","Wed Oct 15 01:24:19 UTC 2025","passed","Wed Oct 15 01:24:20 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","6714","Test Case 6: Contact Us Form","ui-chromium","Wed Oct 15 01:25:20 UTC 2025","passed","Wed Oct 15 01:25:27 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2886","API 7: POST To Verify Login with valid details","api","Wed Oct 15 01:24:16 UTC 2025","passed","Wed Oct 15 01:24:19 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","13697","Test Case 23: Verify address details in checkout page","ui-chromium","Wed Oct 15 01:25:07 UTC 2025","passed","Wed Oct 15 01:25:20 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3253","Test Case 19: View & Cart Brand Products","ui-chromium","Wed Oct 15 01:25:39 UTC 2025","passed","Wed Oct 15 01:25:42 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","17338","Test Case 24: Download Invoice after purchase order","ui-chromium","Wed Oct 15 01:25:19 UTC 2025","passed","Wed Oct 15 01:25:36 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","143","API 10: POST To Verify Login with invalid details","api","Wed Oct 15 01:24:19 UTC 2025","passed","Wed Oct 15 01:24:19 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2912","Test Case 8: Verify All Products and product detail page","ui-chromium","Wed Oct 15 01:25:29 UTC 2025","passed","Wed Oct 15 01:25:32 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","3628","Test Case 21: Add review on product","ui-chromium","Wed Oct 15 01:25:42 UTC 2025","passed","Wed Oct 15 01:25:46 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","12794","Test Case 16: Place Order: Login before Checkout","ui-chromium","Wed Oct 15 01:25:06 UTC 2025","passed","Wed Oct 15 01:25:19 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3106","Test Case 18: View Category Products","ui-chromium","Wed Oct 15 01:25:36 UTC 2025","passed","Wed Oct 15 01:25:39 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2888","Test Case 13: Verify Product quantity in Cart","ui-chromium","Wed Oct 15 01:24:41 UTC 2025","passed","Wed Oct 15 01:24:44 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1305","Test Case 10: Verify Subscription in home page","ui-chromium","Wed Oct 15 01:25:32 UTC 2025","passed","Wed Oct 15 01:25:33 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1572","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Wed Oct 15 01:25:48 UTC 2025","passed","Wed Oct 15 01:25:49 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","18398","Test Case 14: Place Order: Register while Checkout","ui-chromium","Wed Oct 15 01:24:48 UTC 2025","passed","Wed Oct 15 01:25:06 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2496","Test Case 22: Add to cart from Recommended items","ui-chromium","Wed Oct 15 01:24:45 UTC 2025","passed","Wed Oct 15 01:24:48 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2496","API 13: PUT To Update User Account","api","Wed Oct 15 01:24:20 UTC 2025","passed","Wed Oct 15 01:24:22 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","125","API 4: PUT To All Brands List","api","Wed Oct 15 01:24:19 UTC 2025","passed","Wed Oct 15 01:24:19 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
