"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2222","Test Case 22: Add to cart from Recommended items","ui-chromium","Wed Jan 14 01:49:21 UTC 2026","passed","Wed Jan 14 01:49:23 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","7490","Test Case 2: Login User with correct email and password","ui-chromium","Wed Jan 14 01:48:59 UTC 2026","passed","Wed Jan 14 01:49:07 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2051","API 14: Get user account detail by email","api","Wed Jan 14 01:48:56 UTC 2026","passed","Wed Jan 14 01:48:58 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","1814","Test Case 3: Login User with incorrect email and password","ui-chromium","Wed Jan 14 01:49:07 UTC 2026","passed","Wed Jan 14 01:49:09 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2583","API 12: DELETE To Delete User Account","api","Wed Jan 14 01:48:55 UTC 2026","passed","Wed Jan 14 01:48:57 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","106","API 10: POST To Verify Login with invalid details","api","Wed Jan 14 01:48:54 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","5184","Test Case 12: Add Products in Cart","ui-chromium","Wed Jan 14 01:49:15 UTC 2026","passed","Wed Jan 14 01:49:21 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","112","API 5: POST To Search Product","api","Wed Jan 14 01:48:54 UTC 2026","passed","Wed Jan 14 01:48:55 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","103","API 2: POST To All Products List","api","Wed Jan 14 01:48:54 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","11319","Test Case 16: Place Order: Login before Checkout","ui-chromium","Wed Jan 14 01:49:39 UTC 2026","passed","Wed Jan 14 01:49:50 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","7232","Test Case 4: Logout User","ui-chromium","Wed Jan 14 01:49:09 UTC 2026","passed","Wed Jan 14 01:49:16 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","16881","Test Case 14: Place Order: Register while Checkout","ui-chromium","Wed Jan 14 01:49:22 UTC 2026","passed","Wed Jan 14 01:49:39 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3475","Test Case 21: Add review on product","ui-chromium","Wed Jan 14 01:50:14 UTC 2026","passed","Wed Jan 14 01:50:17 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2871","API 7: POST To Verify Login with valid details","api","Wed Jan 14 01:48:52 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","5283","Test Case 5: Register User with existing email","ui-chromium","Wed Jan 14 01:49:10 UTC 2026","passed","Wed Jan 14 01:49:15 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","6037","Test Case 6: Contact Us Form","ui-chromium","Wed Jan 14 01:49:52 UTC 2026","passed","Wed Jan 14 01:49:59 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","110","API 3: Get All Brands List","api","Wed Jan 14 01:48:54 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","110","API 9: DELETE To Verify Login","api","Wed Jan 14 01:48:54 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1905","Test Case 10: Verify Subscription in home page","ui-chromium","Wed Jan 14 01:50:04 UTC 2026","passed","Wed Jan 14 01:50:06 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","202","API 1: Get All Products List","api","Wed Jan 14 01:48:54 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1907","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Wed Jan 14 01:50:17 UTC 2026","passed","Wed Jan 14 01:50:19 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2216","API 8: POST To Verify Login without email parameter","api","Wed Jan 14 01:48:51 UTC 2026","passed","Wed Jan 14 01:48:54 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2951","Test Case 13: Verify Product quantity in Cart","ui-chromium","Wed Jan 14 01:49:16 UTC 2026","passed","Wed Jan 14 01:49:19 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","90","API 6: POST To Search Product without search_product parameter","api","Wed Jan 14 01:48:55 UTC 2026","passed","Wed Jan 14 01:48:55 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1509","API 13: PUT To Update User Account","api","Wed Jan 14 01:48:55 UTC 2026","passed","Wed Jan 14 01:48:56 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3995","Test Case 9: Search Product","ui-chromium","Wed Jan 14 01:50:07 UTC 2026","passed","Wed Jan 14 01:50:11 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2192","Test Case 7: Verify Test Cases Page","ui-chromium","Wed Jan 14 01:49:59 UTC 2026","passed","Wed Jan 14 01:50:01 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
