"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","API 5: POST To Search Product","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","2043","Test Case 13: Verify Product quantity in Cart","ui-chromium","Mon Dec 22 01:46:45 UTC 2025","passed","Mon Dec 22 01:46:47 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1276","Test Case 11: Verify Subscription in Cart page","ui-chromium","Mon Dec 22 01:47:33 UTC 2025","passed","Mon Dec 22 01:47:35 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","70","API 6: POST To Search Product without search_product parameter","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","72","API 10: POST To Verify Login with invalid details","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1563","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Mon Dec 22 01:47:43 UTC 2025","passed","Mon Dec 22 01:47:45 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2702","Test Case 9: Search Product","ui-chromium","Mon Dec 22 01:47:35 UTC 2025","passed","Mon Dec 22 01:47:37 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","6141","Test Case 2: Login User with correct email and password","ui-chromium","Mon Dec 22 01:46:31 UTC 2025","passed","Mon Dec 22 01:46:37 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","15646","Test Case 15: Place Order: Register before Checkout","ui-chromium","Mon Dec 22 01:46:50 UTC 2025","passed","Mon Dec 22 01:47:06 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","73","API 3: Get All Brands List","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
"","89","API 4: PUT To All Brands List","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
"","2864","Test Case 18: View Category Products","ui-chromium","Mon Dec 22 01:47:35 UTC 2025","passed","Mon Dec 22 01:47:38 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2331","Test Case 19: View & Cart Brand Products","ui-chromium","Mon Dec 22 01:47:37 UTC 2025","passed","Mon Dec 22 01:47:40 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","15936","Test Case 24: Download Invoice after purchase order","ui-chromium","Mon Dec 22 01:47:19 UTC 2025","passed","Mon Dec 22 01:47:35 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1885","Test Case 22: Add to cart from Recommended items","ui-chromium","Mon Dec 22 01:46:48 UTC 2025","passed","Mon Dec 22 01:46:49 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","5161","Test Case 12: Add Products in Cart","ui-chromium","Mon Dec 22 01:46:42 UTC 2025","passed","Mon Dec 22 01:46:48 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","69","API 2: POST To All Products List","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","1207","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Mon Dec 22 01:47:45 UTC 2025","passed","Mon Dec 22 01:47:46 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","16571","Test Case 16: Place Order: Login before Checkout","ui-chromium","Mon Dec 22 01:47:06 UTC 2025","passed","Mon Dec 22 01:47:22 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3231","Test Case 17: Remove Products From Cart","ui-chromium","Mon Dec 22 01:46:47 UTC 2025","passed","Mon Dec 22 01:46:50 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2897","API 8: POST To Verify Login without email parameter","api","Mon Dec 22 01:46:24 UTC 2025","passed","Mon Dec 22 01:46:27 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1137","Test Case 10: Verify Subscription in home page","ui-chromium","Mon Dec 22 01:47:32 UTC 2025","passed","Mon Dec 22 01:47:33 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","97","API 11: POST To Create User Account","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:26 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","1949","API 12: DELETE To Delete User Account","api","Mon Dec 22 01:46:26 UTC 2025","passed","Mon Dec 22 01:46:28 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","6069","Test Case 6: Contact Us Form","ui-chromium","Mon Dec 22 01:47:22 UTC 2025","passed","Mon Dec 22 01:47:28 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","3336","Test Case 21: Add review on product","ui-chromium","Mon Dec 22 01:47:40 UTC 2025","passed","Mon Dec 22 01:47:43 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","1810","API 7: POST To Verify Login with valid details","api","Mon Dec 22 01:46:24 UTC 2025","passed","Mon Dec 22 01:46:25 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","16674","Test Case 14: Place Order: Register while Checkout","ui-chromium","Mon Dec 22 01:46:49 UTC 2025","passed","Mon Dec 22 01:47:06 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","9661","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Mon Dec 22 01:47:38 UTC 2025","passed","Mon Dec 22 01:47:48 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3774","Test Case 4: Logout User","ui-chromium","Mon Dec 22 01:46:39 UTC 2025","passed","Mon Dec 22 01:46:42 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","1942","Test Case 7: Verify Test Cases Page","ui-chromium","Mon Dec 22 01:47:28 UTC 2025","passed","Mon Dec 22 01:47:30 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
