"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3047","Test Case 8: Verify All Products and product detail page","ui-chromium","Wed Jan 28 01:48:59 UTC 2026","passed","Wed Jan 28 01:49:02 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2106","Test Case 22: Add to cart from Recommended items","ui-chromium","Wed Jan 28 01:48:15 UTC 2026","passed","Wed Jan 28 01:48:17 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2201","Test Case 9: Search Product","ui-chromium","Wed Jan 28 01:49:05 UTC 2026","passed","Wed Jan 28 01:49:07 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3732","Test Case 18: View Category Products","ui-chromium","Wed Jan 28 01:49:07 UTC 2026","passed","Wed Jan 28 01:49:11 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","11879","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Wed Jan 28 01:49:11 UTC 2026","passed","Wed Jan 28 01:49:23 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","159","API 5: POST To Search Product","api","Wed Jan 28 01:47:49 UTC 2026","passed","Wed Jan 28 01:47:49 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","134","API 6: POST To Search Product without search_product parameter","api","Wed Jan 28 01:47:49 UTC 2026","passed","Wed Jan 28 01:47:49 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","12136","Test Case 16: Place Order: Login before Checkout","ui-chromium","Wed Jan 28 01:48:33 UTC 2026","passed","Wed Jan 28 01:48:45 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3537","Test Case 17: Remove Products From Cart","ui-chromium","Wed Jan 28 01:48:13 UTC 2026","passed","Wed Jan 28 01:48:16 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1676","Test Case 10: Verify Subscription in home page","ui-chromium","Wed Jan 28 01:49:02 UTC 2026","passed","Wed Jan 28 01:49:03 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2504","API 8: POST To Verify Login without email parameter","api","Wed Jan 28 01:47:46 UTC 2026","passed","Wed Jan 28 01:47:48 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","10878","Test Case 1: Register User","ui-chromium","Wed Jan 28 01:47:52 UTC 2026","passed","Wed Jan 28 01:48:03 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3284","API 14: Get user account detail by email","api","Wed Jan 28 01:47:51 UTC 2026","passed","Wed Jan 28 01:47:54 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","16440","Test Case 15: Place Order: Register before Checkout","ui-chromium","Wed Jan 28 01:48:17 UTC 2026","passed","Wed Jan 28 01:48:33 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","135","API 10: POST To Verify Login with invalid details","api","Wed Jan 28 01:47:48 UTC 2026","passed","Wed Jan 28 01:47:48 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","3220","Test Case 13: Verify Product quantity in Cart","ui-chromium","Wed Jan 28 01:48:10 UTC 2026","passed","Wed Jan 28 01:48:13 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","119","API 9: DELETE To Verify Login","api","Wed Jan 28 01:47:48 UTC 2026","passed","Wed Jan 28 01:47:48 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2063","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Wed Jan 28 01:49:16 UTC 2026","passed","Wed Jan 28 01:49:18 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2393","Test Case 21: Add review on product","ui-chromium","Wed Jan 28 01:49:11 UTC 2026","passed","Wed Jan 28 01:49:13 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
