"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2155","Test Case 3: Login User with incorrect email and password","ui-chromium","Thu May 07 02:49:06 UTC 2026","passed","Thu May 07 02:49:08 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","12493","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Thu May 07 02:50:19 UTC 2026","passed","Thu May 07 02:50:31 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","95","API 9: DELETE To Verify Login","api","Thu May 07 02:48:51 UTC 2026","passed","Thu May 07 02:48:51 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","156","API 1: Get All Products List","api","Thu May 07 02:48:51 UTC 2026","passed","Thu May 07 02:48:52 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","15434","Test Case 23: Verify address details in checkout page","ui-chromium","Thu May 07 02:49:42 UTC 2026","passed","Thu May 07 02:49:58 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1631","Test Case 10: Verify Subscription in home page","ui-chromium","Thu May 07 02:50:11 UTC 2026","passed","Thu May 07 02:50:13 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","6768","Test Case 2: Login User with correct email and password","ui-chromium","Thu May 07 02:48:59 UTC 2026","passed","Thu May 07 02:49:05 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2256","API 13: PUT To Update User Account","api","Thu May 07 02:48:52 UTC 2026","passed","Thu May 07 02:48:54 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3351","Test Case 8: Verify All Products and product detail page","ui-chromium","Thu May 07 02:50:08 UTC 2026","passed","Thu May 07 02:50:11 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2132","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Thu May 07 02:50:28 UTC 2026","passed","Thu May 07 02:50:30 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2733","Test Case 22: Add to cart from Recommended items","ui-chromium","Thu May 07 02:49:20 UTC 2026","passed","Thu May 07 02:49:22 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","5840","Test Case 5: Register User with existing email","ui-chromium","Thu May 07 02:49:08 UTC 2026","passed","Thu May 07 02:49:14 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","103","API 10: POST To Verify Login with invalid details","api","Thu May 07 02:48:51 UTC 2026","passed","Thu May 07 02:48:51 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","94","API 2: POST To All Products List","api","Thu May 07 02:48:52 UTC 2026","passed","Thu May 07 02:48:52 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","129","API 5: POST To Search Product","api","Thu May 07 02:48:52 UTC 2026","passed","Thu May 07 02:48:52 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1639","Test Case 11: Verify Subscription in Cart page","ui-chromium","Thu May 07 02:50:13 UTC 2026","passed","Thu May 07 02:50:14 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","102","API 4: PUT To All Brands List","api","Thu May 07 02:48:51 UTC 2026","passed","Thu May 07 02:48:51 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","113","API 3: Get All Brands List","api","Thu May 07 02:48:51 UTC 2026","passed","Thu May 07 02:48:51 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","4481","Test Case 17: Remove Products From Cart","ui-chromium","Thu May 07 02:49:18 UTC 2026","passed","Thu May 07 02:49:22 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","19365","Test Case 15: Place Order: Register before Checkout","ui-chromium","Thu May 07 02:49:22 UTC 2026","passed","Thu May 07 02:49:42 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2010","API 8: POST To Verify Login without email parameter","api","Thu May 07 02:48:49 UTC 2026","passed","Thu May 07 02:48:51 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2137","API 12: DELETE To Delete User Account","api","Thu May 07 02:48:52 UTC 2026","passed","Thu May 07 02:48:54 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","2999","API 14: Get user account detail by email","api","Thu May 07 02:48:54 UTC 2026","passed","Thu May 07 02:48:57 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","5969","Test Case 12: Add Products in Cart","ui-chromium","Thu May 07 02:49:14 UTC 2026","passed","Thu May 07 02:49:20 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","19021","Test Case 24: Download Invoice after purchase order","ui-chromium","Thu May 07 02:49:56 UTC 2026","passed","Thu May 07 02:50:15 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","95","API 6: POST To Search Product without search_product parameter","api","Thu May 07 02:48:52 UTC 2026","passed","Thu May 07 02:48:52 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","2045","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Thu May 07 02:50:26 UTC 2026","passed","Thu May 07 02:50:28 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","19831","Test Case 14: Place Order: Register while Checkout","ui-chromium","Thu May 07 02:49:22 UTC 2026","passed","Thu May 07 02:49:42 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3983","Test Case 18: View Category Products","ui-chromium","Thu May 07 02:50:15 UTC 2026","passed","Thu May 07 02:50:19 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2111","Test Case 7: Verify Test Cases Page","ui-chromium","Thu May 07 02:50:06 UTC 2026","passed","Thu May 07 02:50:08 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","4125","Test Case 9: Search Product","ui-chromium","Thu May 07 02:50:14 UTC 2026","passed","Thu May 07 02:50:19 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","4383","Test Case 21: Add review on product","ui-chromium","Thu May 07 02:50:21 UTC 2026","passed","Thu May 07 02:50:26 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","3892","Test Case 13: Verify Product quantity in Cart","ui-chromium","Thu May 07 02:49:14 UTC 2026","passed","Thu May 07 02:49:18 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","13807","Test Case 16: Place Order: Login before Checkout","ui-chromium","Thu May 07 02:49:42 UTC 2026","passed","Thu May 07 02:49:56 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","7918","Test Case 6: Contact Us Form","ui-chromium","Thu May 07 02:49:58 UTC 2026","passed","Thu May 07 02:50:06 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2715","Test Case 19: View & Cart Brand Products","ui-chromium","Thu May 07 02:50:19 UTC 2026","passed","Thu May 07 02:50:21 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","115","API 11: POST To Create User Account","api","Thu May 07 02:48:52 UTC 2026","passed","Thu May 07 02:48:52 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3025","API 7: POST To Verify Login with valid details","api","Thu May 07 02:48:49 UTC 2026","passed","Thu May 07 02:48:52 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","5833","Test Case 4: Logout User","ui-chromium","Thu May 07 02:49:08 UTC 2026","passed","Thu May 07 02:49:14 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","12145","Test Case 1: Register User","ui-chromium","Thu May 07 02:48:56 UTC 2026","passed","Thu May 07 02:49:08 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
