"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11058","Test Case 1: Register User","ui-chromium","Fri Jan 30 02:00:22 UTC 2026","passed","Fri Jan 30 02:00:33 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","1458","API 12: DELETE To Delete User Account","api","Fri Jan 30 02:00:18 UTC 2026","passed","Fri Jan 30 02:00:19 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3068","API 14: Get user account detail by email","api","Fri Jan 30 02:00:19 UTC 2026","passed","Fri Jan 30 02:00:23 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3046","Test Case 22: Add to cart from Recommended items","ui-chromium","Fri Jan 30 02:00:46 UTC 2026","passed","Fri Jan 30 02:00:49 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","119","API 3: Get All Brands List","api","Fri Jan 30 02:00:17 UTC 2026","passed","Fri Jan 30 02:00:17 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","159","API 5: POST To Search Product","api","Fri Jan 30 02:00:18 UTC 2026","passed","Fri Jan 30 02:00:18 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","4031","Test Case 9: Search Product","ui-chromium","Fri Jan 30 02:01:37 UTC 2026","passed","Fri Jan 30 02:01:41 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3489","Test Case 13: Verify Product quantity in Cart","ui-chromium","Fri Jan 30 02:00:40 UTC 2026","passed","Fri Jan 30 02:00:43 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","5987","Test Case 12: Add Products in Cart","ui-chromium","Fri Jan 30 02:00:40 UTC 2026","passed","Fri Jan 30 02:00:46 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","132","API 2: POST To All Products List","api","Fri Jan 30 02:00:18 UTC 2026","passed","Fri Jan 30 02:00:18 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","6066","Test Case 5: Register User with existing email","ui-chromium","Fri Jan 30 02:00:33 UTC 2026","passed","Fri Jan 30 02:00:40 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3961","Test Case 18: View Category Products","ui-chromium","Fri Jan 30 02:01:37 UTC 2026","passed","Fri Jan 30 02:01:41 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","14313","Test Case 23: Verify address details in checkout page","ui-chromium","Fri Jan 30 02:01:07 UTC 2026","passed","Fri Jan 30 02:01:21 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","12763","Test Case 16: Place Order: Login before Checkout","ui-chromium","Fri Jan 30 02:01:06 UTC 2026","passed","Fri Jan 30 02:01:19 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2070","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Fri Jan 30 02:01:48 UTC 2026","passed","Fri Jan 30 02:01:50 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","203","API 1: Get All Products List","api","Fri Jan 30 02:00:17 UTC 2026","passed","Fri Jan 30 02:00:18 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","2072","Test Case 3: Login User with incorrect email and password","ui-chromium","Fri Jan 30 02:00:31 UTC 2026","passed","Fri Jan 30 02:00:33 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","115","API 10: POST To Verify Login with invalid details","api","Fri Jan 30 02:00:17 UTC 2026","passed","Fri Jan 30 02:00:17 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
