"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","API 2: POST To All Products List","api","Tue Dec 02 01:29:27 UTC 2025","passed","Tue Dec 02 01:29:28 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","83","API 11: POST To Create User Account","api","Tue Dec 02 01:29:28 UTC 2025","passed","Tue Dec 02 01:29:28 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","2356","Test Case 21: Add review on product","ui-chromium","Tue Dec 02 01:30:39 UTC 2025","passed","Tue Dec 02 01:30:41 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","1588","API 7: POST To Verify Login with valid details","api","Tue Dec 02 01:29:25 UTC 2025","passed","Tue Dec 02 01:29:27 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","61","API 9: DELETE To Verify Login","api","Tue Dec 02 01:29:27 UTC 2025","passed","Tue Dec 02 01:29:27 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","6071","Test Case 6: Contact Us Form","ui-chromium","Tue Dec 02 01:30:22 UTC 2025","passed","Tue Dec 02 01:30:28 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1887","API 14: Get user account detail by email","api","Tue Dec 02 01:29:29 UTC 2025","passed","Tue Dec 02 01:29:31 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","16443","Test Case 15: Place Order: Register before Checkout","ui-chromium","Tue Dec 02 01:29:52 UTC 2025","passed","Tue Dec 02 01:30:08 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1841","Test Case 13: Verify Product quantity in Cart","ui-chromium","Tue Dec 02 01:29:47 UTC 2025","passed","Tue Dec 02 01:29:49 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1334","Test Case 3: Login User with incorrect email and password","ui-chromium","Tue Dec 02 01:29:39 UTC 2025","passed","Tue Dec 02 01:29:40 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","74","API 10: POST To Verify Login with invalid details","api","Tue Dec 02 01:29:27 UTC 2025","passed","Tue Dec 02 01:29:27 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1718","Test Case 9: Search Product","ui-chromium","Tue Dec 02 01:30:34 UTC 2025","passed","Tue Dec 02 01:30:36 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2088","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Tue Dec 02 01:30:41 UTC 2025","passed","Tue Dec 02 01:30:44 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","2713","Test Case 8: Verify All Products and product detail page","ui-chromium","Tue Dec 02 01:30:29 UTC 2025","passed","Tue Dec 02 01:30:32 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2954","Test Case 17: Remove Products From Cart","ui-chromium","Tue Dec 02 01:29:49 UTC 2025","passed","Tue Dec 02 01:29:52 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","9958","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Tue Dec 02 01:30:39 UTC 2025","passed","Tue Dec 02 01:30:49 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
