"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1594","Test Case 3: Login User with incorrect email and password","ui-chromium","Tue Nov 18 01:27:43 UTC 2025","passed","Tue Nov 18 01:27:45 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3314","API 7: POST To Verify Login with valid details","api","Tue Nov 18 01:27:28 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","2785","Test Case 18: View Category Products","ui-chromium","Tue Nov 18 01:28:41 UTC 2025","passed","Tue Nov 18 01:28:44 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","15364","Test Case 24: Download Invoice after purchase order","ui-chromium","Tue Nov 18 01:28:26 UTC 2025","passed","Tue Nov 18 01:28:41 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","4078","Test Case 5: Register User with existing email","ui-chromium","Tue Nov 18 01:27:48 UTC 2025","passed","Tue Nov 18 01:27:53 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","1065","Test Case 11: Verify Subscription in Cart page","ui-chromium","Tue Nov 18 01:28:40 UTC 2025","passed","Tue Nov 18 01:28:41 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2125","Test Case 19: View & Cart Brand Products","ui-chromium","Tue Nov 18 01:28:43 UTC 2025","passed","Tue Nov 18 01:28:46 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","4648","Test Case 12: Add Products in Cart","ui-chromium","Tue Nov 18 01:27:49 UTC 2025","passed","Tue Nov 18 01:27:53 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2830","Test Case 17: Remove Products From Cart","ui-chromium","Tue Nov 18 01:27:53 UTC 2025","passed","Tue Nov 18 01:27:56 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1920","API 14: Get user account detail by email","api","Tue Nov 18 01:27:34 UTC 2025","passed","Tue Nov 18 01:27:36 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","137","API 1: Get All Products List","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","6339","Test Case 6: Contact Us Form","ui-chromium","Tue Nov 18 01:28:29 UTC 2025","passed","Tue Nov 18 01:28:35 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1785","Test Case 8: Verify All Products and product detail page","ui-chromium","Tue Nov 18 01:28:37 UTC 2025","passed","Tue Nov 18 01:28:39 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","76","API 10: POST To Verify Login with invalid details","api","Tue Nov 18 01:27:31 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","10293","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Tue Nov 18 01:28:44 UTC 2025","passed","Tue Nov 18 01:28:54 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","2659","Test Case 9: Search Product","ui-chromium","Tue Nov 18 01:28:41 UTC 2025","passed","Tue Nov 18 01:28:43 UTC 2025","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","12798","Test Case 23: Verify address details in checkout page","ui-chromium","Tue Nov 18 01:28:13 UTC 2025","passed","Tue Nov 18 01:28:26 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","10800","Test Case 1: Register User","ui-chromium","Tue Nov 18 01:27:35 UTC 2025","passed","Tue Nov 18 01:27:46 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","102","API 5: POST To Search Product","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","15940","Test Case 16: Place Order: Login before Checkout","ui-chromium","Tue Nov 18 01:28:13 UTC 2025","passed","Tue Nov 18 01:28:29 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","1917","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Tue Nov 18 01:28:49 UTC 2025","passed","Tue Nov 18 01:28:50 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","1368","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Tue Nov 18 01:28:50 UTC 2025","passed","Tue Nov 18 01:28:52 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","16850","Test Case 14: Place Order: Register while Checkout","ui-chromium","Tue Nov 18 01:27:56 UTC 2025","passed","Tue Nov 18 01:28:13 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","5244","Test Case 2: Login User with correct email and password","ui-chromium","Tue Nov 18 01:27:36 UTC 2025","passed","Tue Nov 18 01:27:42 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","2958","Test Case 21: Add review on product","ui-chromium","Tue Nov 18 01:28:46 UTC 2025","passed","Tue Nov 18 01:28:49 UTC 2025","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","1549","Test Case 7: Verify Test Cases Page","ui-chromium","Tue Nov 18 01:28:35 UTC 2025","passed","Tue Nov 18 01:28:37 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","86","API 2: POST To All Products List","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","1973","Test Case 22: Add to cart from Recommended items","ui-chromium","Tue Nov 18 01:27:55 UTC 2025","passed","Tue Nov 18 01:27:57 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2817","API 12: DELETE To Delete User Account","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:35 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","68","API 11: POST To Create User Account","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","1128","Test Case 10: Verify Subscription in home page","ui-chromium","Tue Nov 18 01:28:39 UTC 2025","passed","Tue Nov 18 01:28:40 UTC 2025","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","3663","Test Case 4: Logout User","ui-chromium","Tue Nov 18 01:27:45 UTC 2025","passed","Tue Nov 18 01:27:48 UTC 2025","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","63","API 6: POST To Search Product without search_product parameter","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Product APIs","api/documented/products.spec.ts","",""
"","15732","Test Case 15: Place Order: Register before Checkout","ui-chromium","Tue Nov 18 01:27:57 UTC 2025","passed","Tue Nov 18 01:28:13 UTC 2025","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","2571","Test Case 13: Verify Product quantity in Cart","ui-chromium","Tue Nov 18 01:27:53 UTC 2025","passed","Tue Nov 18 01:27:55 UTC 2025","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","1857","API 13: PUT To Update User Account","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:34 UTC 2025","User Management APIs","api/documented/user-management.spec.ts","",""
"","61","API 9: DELETE To Verify Login","api","Tue Nov 18 01:27:31 UTC 2025","passed","Tue Nov 18 01:27:31 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","66","API 4: PUT To All Brands List","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
"","3111","API 8: POST To Verify Login without email parameter","api","Tue Nov 18 01:27:28 UTC 2025","passed","Tue Nov 18 01:27:31 UTC 2025","Authentication APIs","api/documented/authentication.spec.ts","",""
"","63","API 3: Get All Brands List","api","Tue Nov 18 01:27:32 UTC 2025","passed","Tue Nov 18 01:27:32 UTC 2025","Brand APIs","api/documented/brands.spec.ts","",""
