"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164","API 1: Get All Products List","api","Sat May 09 02:47:18 UTC 2026","passed","Sat May 09 02:47:18 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1700","Test Case 11: Verify Subscription in Cart page","ui-chromium","Sat May 09 02:48:40 UTC 2026","passed","Sat May 09 02:48:42 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","1639","Test Case 10: Verify Subscription in home page","ui-chromium","Sat May 09 02:48:38 UTC 2026","passed","Sat May 09 02:48:40 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","6630","Test Case 12: Add Products in Cart","ui-chromium","Sat May 09 02:47:41 UTC 2026","passed","Sat May 09 02:47:47 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","7510","Test Case 6: Contact Us Form","ui-chromium","Sat May 09 02:48:24 UTC 2026","passed","Sat May 09 02:48:32 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","3871","Test Case 18: View Category Products","ui-chromium","Sat May 09 02:48:43 UTC 2026","passed","Sat May 09 02:48:47 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","149","API 5: POST To Search Product","api","Sat May 09 02:47:18 UTC 2026","passed","Sat May 09 02:47:18 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","1954","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","ui-chromium","Sat May 09 02:48:56 UTC 2026","passed","Sat May 09 02:48:58 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","119","API 10: POST To Verify Login with invalid details","api","Sat May 09 02:47:17 UTC 2026","passed","Sat May 09 02:47:17 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1943","API 14: Get user account detail by email","api","Sat May 09 02:47:20 UTC 2026","passed","Sat May 09 02:47:22 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","7821","Test Case 2: Login User with correct email and password","ui-chromium","Sat May 09 02:47:24 UTC 2026","passed","Sat May 09 02:47:32 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","6705","Test Case 4: Logout User","ui-chromium","Sat May 09 02:47:34 UTC 2026","passed","Sat May 09 02:47:41 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","4253","Test Case 8: Verify All Products and product detail page","ui-chromium","Sat May 09 02:48:34 UTC 2026","passed","Sat May 09 02:48:38 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","130","API 2: POST To All Products List","api","Sat May 09 02:47:18 UTC 2026","passed","Sat May 09 02:47:18 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","13318","Test Case 20: Search Products and Verify Cart After Login","ui-chromium","Sat May 09 02:48:47 UTC 2026","passed","Sat May 09 02:49:00 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","3020","API 7: POST To Verify Login with valid details","api","Sat May 09 02:47:15 UTC 2026","passed","Sat May 09 02:47:18 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","1968","API 8: POST To Verify Login without email parameter","api","Sat May 09 02:47:15 UTC 2026","passed","Sat May 09 02:47:17 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","3207","Test Case 13: Verify Product quantity in Cart","ui-chromium","Sat May 09 02:47:42 UTC 2026","passed","Sat May 09 02:47:45 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2168","API 12: DELETE To Delete User Account","api","Sat May 09 02:47:18 UTC 2026","passed","Sat May 09 02:47:20 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","3655","Test Case 19: View & Cart Brand Products","ui-chromium","Sat May 09 02:48:45 UTC 2026","passed","Sat May 09 02:48:49 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","133","API 11: POST To Create User Account","api","Sat May 09 02:47:18 UTC 2026","passed","Sat May 09 02:47:18 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","125","API 3: Get All Brands List","api","Sat May 09 02:47:17 UTC 2026","passed","Sat May 09 02:47:18 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","2468","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","ui-chromium","Sat May 09 02:48:53 UTC 2026","passed","Sat May 09 02:48:56 UTC 2026","User Experience Tests","ui/documented/user-experience.spec.ts","",""
"","19225","Test Case 24: Download Invoice after purchase order","ui-chromium","Sat May 09 02:48:24 UTC 2026","passed","Sat May 09 02:48:43 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","14115","Test Case 23: Verify address details in checkout page","ui-chromium","Sat May 09 02:48:10 UTC 2026","passed","Sat May 09 02:48:24 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","6097","Test Case 5: Register User with existing email","ui-chromium","Sat May 09 02:47:36 UTC 2026","passed","Sat May 09 02:47:42 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","121","API 9: DELETE To Verify Login","api","Sat May 09 02:47:17 UTC 2026","passed","Sat May 09 02:47:17 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","4921","Test Case 17: Remove Products From Cart","ui-chromium","Sat May 09 02:47:45 UTC 2026","passed","Sat May 09 02:47:50 UTC 2026","Cart Operations Tests","ui/documented/cart-operations.spec.ts","",""
"","2160","Test Case 3: Login User with incorrect email and password","ui-chromium","Sat May 09 02:47:32 UTC 2026","passed","Sat May 09 02:47:34 UTC 2026","Authentication Tests","ui/documented/authentication.spec.ts","",""
"","3453","Test Case 9: Search Product","ui-chromium","Sat May 09 02:48:42 UTC 2026","passed","Sat May 09 02:48:45 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
