"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1515","Test Case 10: Verify Subscription in home page","ui-chromium","Mon Feb 16 02:10:13 UTC 2026","passed","Mon Feb 16 02:10:15 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","107","API 10: POST To Verify Login with invalid details","api","Mon Feb 16 02:08:55 UTC 2026","passed","Mon Feb 16 02:08:55 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","106","API 4: PUT To All Brands List","api","Mon Feb 16 02:08:55 UTC 2026","passed","Mon Feb 16 02:08:56 UTC 2026","Brand APIs","api/documented/brands.spec.ts","",""
"","19136","Test Case 14: Place Order: Register while Checkout","ui-chromium","Mon Feb 16 02:09:28 UTC 2026","passed","Mon Feb 16 02:09:47 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","3313","Test Case 19: View & Cart Brand Products","ui-chromium","Mon Feb 16 02:10:20 UTC 2026","passed","Mon Feb 16 02:10:23 UTC 2026","Product Discovery Tests","ui/documented/product-discovery.spec.ts","",""
"","1906","API 12: DELETE To Delete User Account","api","Mon Feb 16 02:08:56 UTC 2026","passed","Mon Feb 16 02:08:58 UTC 2026","User Management APIs","api/documented/user-management.spec.ts","",""
"","6985","Test Case 6: Contact Us Form","ui-chromium","Mon Feb 16 02:10:01 UTC 2026","passed","Mon Feb 16 02:10:08 UTC 2026","Content and Navigation Tests","ui/documented/content-navigation.spec.ts","",""
"","2233","API 7: POST To Verify Login with valid details","api","Mon Feb 16 02:08:53 UTC 2026","passed","Mon Feb 16 02:08:55 UTC 2026","Authentication APIs","api/documented/authentication.spec.ts","",""
"","18780","Test Case 15: Place Order: Register before Checkout","ui-chromium","Mon Feb 16 02:09:29 UTC 2026","passed","Mon Feb 16 02:09:48 UTC 2026","Checkout and Order Tests","ui/documented/checkout-flows.spec.ts","",""
"","105","API 5: POST To Search Product","api","Mon Feb 16 02:08:56 UTC 2026","passed","Mon Feb 16 02:08:56 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
"","102","API 2: POST To All Products List","api","Mon Feb 16 02:08:56 UTC 2026","passed","Mon Feb 16 02:08:56 UTC 2026","Product APIs","api/documented/products.spec.ts","",""
